marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,sentiment,,
US,11555559,R1QXC7AHHJBQ3O,B00IKPX4GY,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,Y,Five Stars,Great love it,2015-08-31,1,,
US,31469372,R175VSRV6ZETOP,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,3,0,0,N,N,Lots of ads Slow processing speed Occasionally shuts down apps ...,Lots of ads<br />Slow processing speed<br />Occasionally shuts down apps<br />WIFI keeps having authentication issues<br /><br />Was cheap for a tablet and now i know why.,2015-08-31,0,,
US,26843895,R2HRFF78MWGY19,B00IKPW0UA,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,Y,Well thought out device,"Excellent unit.  The versatility of this tablet, besides being competitively priced is a solution to the elderly.  Poor eyesight and physical disabilities associated with age and using the supporting add on features allows the user to stay in touch with our changing world.<br />A realistic add on keyboard that you can see and use.<br />I cannot wait to use my Fire HD7 to show computer created work sheets and class instructions to my students. (HMDI) Good by to copiers and reams of paper, Farwell to those costly printer inks!<br /><br />Oh yes I have much more to gain back.  Just takes a little effort to learn more, open a book and read.<br />Noel",2015-08-31,1,,
US,19844868,R8Q39WPKYVSTX,B00LCHSHMS,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,4,0,0,N,N,"Not all apps/games we were looking forward to using were compatible with this tablet, over all we are enjoying it though,",I bought this on Amazon Prime so I ended up buying the 16gb one for $95.  The camera is okay and I love the edit features you can do to the pictures.  Amazon/Netflix/Huliu all run smoothly on this tablet. The internet runs a lot faster than our other tablet too.  While over all I am happy with this tablet it did come with a couple disappointments that I wanted to make sure other people are aware of.  I am an Amazon Prime member and I thought that with Amazon Prime you could read a lot of books for free with a kindle and was disappointed to see you can only borrow one kindle book a month for free. :(  Also one of the main reasons we purchased  a tablet was because my kids love the Plants vs Zombies games.  The kids were quite disappointed that Plants vs Zombies 2 is not available for the fire.  There are also other games/apps that we were looking forward to using that are not available on the Fire that were available for our previous cheaper Neutab tablet that we were looking forward to using on this tablet.  I recommend people ask about apps they are looking forward to using before buying.,2015-08-31,1,,
US,1189852,R3RL4C8YP2ZCJL,B00IKPZ5V6,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,Y,Five Stars,All Amazon products continue to meet my expectations,2015-08-31,1,,
US,14239730,R15B8KUCTZEIAZ,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,4,0,0,N,Y,Four Stars,Good product. I like it 😀,2015-08-31,1,,
US,44445848,RH819AVFZQQJD,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,4,0,0,N,Y,Not a bad product. Simple. Works well. Nothing fancy.,"This kindle works well but the battery goes dead more quickly than you'd expect. Really it is a version of the previous Kindle that weighs less. The internet browser works considerably better than the previous but still has issues loading certain websites. Pop-up ads are a challenge at times. Other than that it is about the same as the older version, a good product that serves its purpose well but I wouldn't rave about it.",2015-08-31,1,,
US,28328595,R3AUPGXXHD3Y2K,B00IKPZ5V6,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,Y,Five Stars,"I really enjoy my new kindle, it is easy to use and offers plenty of useful and entertaining activities",2015-08-31,1,,
US,13496210,R39KKR7TWFHENK,B00LCHRQL6,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,4,0,0,N,Y,"Everything works great, the menu system is awful","It's what I wanted and performs perfectly. Everything works great, the menu system is awful. I'd go 5 stars if the menu system were better.",2015-08-31,1,,
US,16092745,R2TPJAFH6DBEEZ,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,Y,Like looks and,Made well. Like looks and style,2015-08-31,1,,
US,17866289,R31K70PZYKP456,B00IKPZ5V6,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,Y,Five Stars,Yes it met all of my needs 5 Stars,2015-08-31,1,,
US,13443121,R1ME7QUMA7VEU2,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,N,Love,We have the old kindles but this one does a lot more.  Love it,2015-08-31,1,,
US,27958433,R1Z362DKECOPMA,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,Y,Five Stars,Great product,2015-08-31,1,,
US,42925795,R34KLL8U89EDIV,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,4,0,0,N,Y,my new kindle,The only complaint I have about this kindle is that the camera takes &#34,grainy&#34, pictures. After trying everything to fix the problem the pictures are not good.,2015-08-31,1
US,39466736,R3PZUZS3H4JEE7,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,Y,Five Stars,great,2015-08-31,1,,
US,11447843,R8OPOT8P656XZ,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,4,0,0,N,N,The promotional price was very good. I was worried as my last android device ...,"Just got it.  The promotional price was very good.  I was worried as my last android device was a real turkey.  My main purpose for this was as a reader .  It downloaded everything fairly fast and with no problems, from my Overdrive app.  I really need it for traveling.  It's a perfect size  The screen resolution if great.  I am not sure of the sound quality yet, but it expect it to be as good as most apple phones.  Amazon really bends over backwards to keep it's prime customers happy.  I really appreciate the good service.",2015-08-31,1,,
US,1879148,R1G87YG68LE5PX,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,Y,Five Stars,I love this product,2015-08-31,1,,
US,28045926,R3C45ONZ6HK8O,B00IKPZ5V6,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,Y,Five Stars,Love it!!!,2015-08-31,1,,
US,21383838,RSCHWRFOYD08E,B00IKPW0UA,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,Y,Highly Recommend,"I really like using this HD display. I have not used all its features yet, but what I have used I live.",2015-08-31,1,,
US,1740449,R2FUAPSCUOV5R7,B00IKPZ5V6,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,5,0,0,N,N,Everything I expected and more. Have already gotten hours ...,"Everything I expected and more. Have already gotten hours of entertainment and information. So much easier to read from, than paperbacks especially on vacation.",2015-08-31,1,,
US,30532922,R1AKNJIJ586BJ,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,3,1,1,N,Y,Three Stars,Its a nice tablet but I was disappointed to see that they deliberately made using Chromecast impossible,2015-08-31,0,,
US,27630491,R110DOQO7CLFQU,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,2,0,1,N,N,Don't waste your money on this tablet,"Don't waste your money buying a kindle fire hd 7&#34;. You'll do 100 better buying any other tablet on the market. The Kindle is limited by Amazon and purposely doesn't allow downloads of apps that aren't on Amazon market place.  This tablet has soooo many problems !! AS in :  slow connection to internet, NO connection to internet possible much of the time, slow or no connection to videos, games, etc. NO support!!! Just reading other problems from other owners.  So, do yourself a huge favor and buy ANYTHING ELSE!!!  Mine was a gift from my well-meaning son.",2015-08-31,0,,
US,38564384,RJ1E1QJHFRSAP,B00IKPYKWG,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,2,0,0,N,Y,Same sloppy OS same glitches still no flash compatability...,"Still just as slow and glitchy as the first edition fire. Still not flash compatible which renders the browser useless. Freezes constantly, crap battery life and regularly occuring issues with loading the page you were on last.  Incredibly disappointing.",2015-08-31,0,,
US,28756501,R14NQK09ZDCN1R,B00IKPZ5V6,2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB",PC,4,0,0,N,Y,"I love it, I just wish I could download books ...","I love it, I just wish I could download books without having internet service like I could with my keyboard Kindle.",2015-08-31,1,,
